Date,RetailSales
1992-01-01,13130
1992-02-01,13276
1992-03-01,14135
1992-04-01,13858
1992-05-01,14854
1992-06-01,14173
1992-07-01,14657
1992-08-01,15155
1992-09-01,13882
1992-10-01,14918
1992-11-01,14115
1992-12-01,14780
1993-01-01,13775
1993-02-01,13268
1993-03-01,14806
1993-04-01,15137
1993-05-01,15847
1993-06-01,15772
1993-07-01,16245
1993-08-01,16471
1993-09-01,15408
1993-10-01,15930
1993-11-01,14846
1993-12-01,15648
1994-01-01,13724
1994-02-01,14093
1994-03-01,16024
1994-04-01,16012
1994-05-01,16537
1994-06-01,16576
1994-07-01,17277
1994-08-01,17070
1994-09-01,16124
1994-10-01,16555
1994-11-01,15638
1994-12-01,16747
1995-01-01,14932
1995-02-01,14599
1995-03-01,16631
1995-04-01,16591
1995-05-01,17286
1995-06-01,17251
1995-07-01,17624
1995-08-01,17911
1995-09-01,16710
1995-10-01,16811
1995-11-01,16025
1995-12-01,17030
1996-01-01,15130
1996-02-01,15761
1996-03-01,17321
1996-04-01,16960
1996-05-01,18088
1996-06-01,17733
1996-07-01,18022
1996-08-01,18697
1996-09-01,16923
1996-10-01,17694
1996-11-01,17345
1996-12-01,17577
1997-01-01,16500
1997-02-01,16412
1997-03-01,18388
1997-04-01,18128
1997-05-01,19508
1997-06-01,18740
1997-07-01,19477
1997-08-01,20008
1997-09-01,18171
1997-10-01,18799
1997-11-01,17660
1997-12-01,18447
1998-01-01,17413
1998-02-01,17085
1998-03-01,18993
1998-04-01,18953
1998-05-01,20314
1998-06-01,19662
1998-07-01,20215
1998-08-01,20320
1998-09-01,18873
1998-10-01,20035
1998-11-01,18610
1998-12-01,19718
1999-01-01,18102
1999-02-01,17936
1999-03-01,19685
1999-04-01,20031
1999-05-01,20826
1999-06-01,20293
1999-07-01,21241
1999-08-01,20830
1999-09-01,19561
1999-10-01,20929
1999-11-01,19544
1999-12-01,20649
2000-01-01,19119
2000-02-01,19736
2000-03-01,21619
2000-04-01,21378
2000-05-01,21897
2000-06-01,22041
2000-07-01,22507
2000-08-01,22254
2000-09-01,21341
2000-10-01,21599
2000-11-01,20542
2000-12-01,21659
2001-01-01,20201
2001-02-01,20140
2001-03-01,22777
2001-04-01,21777
2001-05-01,22996
2001-06-01,23259
2001-07-01,23546
2001-08-01,24052
2001-09-01,21471
2001-10-01,22067
2001-11-01,21522
2001-12-01,23471
2002-01-01,21287
2002-02-01,21222
2002-03-01,23878
2002-04-01,23153
2002-05-01,24335
2002-06-01,24132
2002-07-01,24514
2002-08-01,25227
2002-09-01,22477
2002-10-01,23107
2002-11-01,22688
2002-12-01,23954
2003-01-01,22152
2003-02-01,21668
2003-03-01,24696
2003-04-01,23960
2003-05-01,26181
2003-06-01,25364
2003-07-01,26159
2003-08-01,27003
2003-09-01,23839
2003-10-01,25274
2003-11-01,24293
2003-12-01,25551
2004-01-01,24355
2004-02-01,24469
2004-03-01,26533
2004-04-01,26228
2004-05-01,27309
2004-06-01,26742
2004-07-01,28434
2004-08-01,27553
2004-09-01,25698
2004-10-01,27014
2004-11-01,25362
2004-12-01,27812
2005-01-01,25456
2005-02-01,25479
2005-03-01,28071
2005-04-01,28413
2005-05-01,29038
2005-06-01,28741
2005-07-01,30070
2005-08-01,29390
2005-09-01,27392
2005-10-01,28421
2005-11-01,27113
2005-12-01,29677
2006-01-01,27775
2006-02-01,26910
2006-03-01,30439
2006-04-01,29626
2006-05-01,30571
2006-06-01,30456
2006-07-01,31009
2006-08-01,31187
2006-09-01,29583
2006-10-01,29902
2006-11-01,28533
2006-12-01,32085
2007-01-01,28624
2007-02-01,28081
2007-03-01,32420
2007-04-01,30715
2007-05-01,32387
2007-06-01,32605
2007-07-01,32652
2007-08-01,33168
2007-09-01,30403
2007-10-01,31220
2007-11-01,30186
2007-12-01,32746
2008-01-01,29835
2008-02-01,30346
2008-03-01,32729
2008-04-01,31770
2008-05-01,34264
2008-06-01,32742
2008-07-01,33529
2008-08-01,34186
2008-09-01,30522
2008-10-01,32023
2008-11-01,30624
2008-12-01,32148
2009-01-01,30990
2009-02-01,29834
2009-03-01,32771
2009-04-01,31909
2009-05-01,34109
2009-06-01,32513
2009-07-01,33414
2009-08-01,33169
2009-09-01,30331
2009-10-01,31859
2009-11-01,29921
2009-12-01,31933
2010-01-01,30481
2010-02-01,30076
2010-03-01,33645
2010-04-01,33287
2010-05-01,34623
2010-06-01,33595
2010-07-01,35062
2010-08-01,34358
2010-09-01,31780
2010-10-01,33607
2010-11-01,31563
2010-12-01,33849
2011-01-01,31763
2011-02-01,31977
2011-03-01,35968
2011-04-01,35427
2011-05-01,36626
2011-06-01,35886
2011-07-01,37246
2011-08-01,36459
2011-09-01,34635
2011-10-01,35636
2011-11-01,33583
2011-12-01,36789
2012-01-01,34091
2012-02-01,35042
2012-03-01,39045
2012-04-01,37143
2012-05-01,38591
2012-06-01,38401
2012-07-01,38488
2012-08-01,38611
2012-09-01,36080
2012-10-01,36782
2012-11-01,36087
2012-12-01,38982
2013-01-01,36033
2013-02-01,35608
2013-03-01,40955
2013-04-01,38810
2013-05-01,40685
2013-06-01,39421
2013-07-01,39610
2013-08-01,40514
2013-09-01,36907
2013-10-01,38790
2013-11-01,38475
2013-12-01,40147
2014-01-01,37121
2014-02-01,36887
2014-03-01,42689
2014-04-01,40953
2014-05-01,43854
2014-06-01,41589
2014-07-01,42450
2014-08-01,43528
2014-09-01,39935
2014-10-01,42574
2014-11-01,40864
2014-12-01,44196
2015-01-01,41784
2015-02-01,40337
2015-03-01,46307
2015-04-01,45094
2015-05-01,48077
2015-06-01,45461
2015-07-01,46408
2015-08-01,46225
2015-09-01,43024
2015-10-01,45883
2015-11-01,43128
2015-12-01,47365
2016-01-01,43571
2016-02-01,44624
2016-03-01,48553
2016-04-01,48373
2016-05-01,49117
2016-06-01,47334
2016-07-01,48817
2016-08-01,47920
2016-09-01,45692
2016-10-01,47270
2016-11-01,45581
2016-12-01,49559
2017-01-01,45897
2017-02-01,45364
2017-03-01,51845
2017-04-01,50245
2017-05-01,51829
2017-06-01,51013
2017-07-01,51173
2017-08-01,50943
2017-09-01,48447
2017-10-01,49408
2017-11-01,47580
2017-12-01,53037
2018-01-01,47333
2018-02-01,47095
2018-03-01,54782
2018-04-01,51700
2018-05-01,55395
2018-06-01,55556
2018-07-01,55840
2018-08-01,56029
2018-09-01,50923
2018-10-01,52322
2018-11-01,50429
2018-12-01,54567
2019-01-01,49445
2019-02-01,49162
2019-03-01,57230
2019-04-01,54723
2019-05-01,58681
2019-06-01,57911
